中国	China
塔什干市	The city of Tashkent
锡尔河	SYR Darya
西班牙	Spain
阿尔梅里亚	Almeria
阿尔瓦塞特	Albacete
阿拉瓦	Arawa
阿利坎特	Alicante
阿斯图利亚斯	Asturias
阿维拉	Avila
奥伦塞	Ourense
巴达霍斯	Badajoz
巴利阿里	The Balearic
巴利亚多利德	Valladolid
巴伦西亚	Valencia
巴塞罗那	Barcelona
比斯开	Biscay
布尔戈斯	Burgos
哈恩	Hahn
赫罗纳	Girona
吉普斯夸	Guip
加的斯	Cadiz
卡塞雷斯	Caceres
卡斯蒂利亚	Castilla
卡斯特利翁	Castellon
昆卡	Cuenca
拉科鲁尼亚	Deportivo La Coruna
拉斯帕尔马斯	Lars Palmas
莱里达	Lleida
卢戈	Lu Ge
马德里	Madrid
马拉加	Malaga
穆尔西亚	Murcia
纳瓦拉	Navarra
帕伦西亚	Palencia
蓬特韦德拉	Ponte Vadera
萨拉戈萨	Saragossa
萨拉曼卡	Salamanca
萨莫拉	Zamora
塞哥维亚	Segovia
塞维利亚	Seville
圣克鲁斯-德特内里费	Santa Cruz de Te Neri Faye
索里亚	Soria
塔拉戈纳	Tarragona
特鲁埃尔	Teruel
韦尔瓦	Velva
韦斯卡	Huesca
希腊	Greece
比雷埃夫斯	Belay Av J
多德卡尼斯	Dodd Carnes
干尼亚	Chania
基克拉迪	Kieker Radi
拉西锡	Rasisi
莱斯博斯	Les Bos
雷西姆农	Rethymnon
萨摩斯	Samos
雅典	Athens
伊拉克里翁	Heraklion
新加坡	Singapore
新喀里多尼亚	New Caledonia
新西兰	New Zealand
奥克兰	Oakland
北岸	North Shore
北远	Far north
布莱尼姆	Blaine M
达尼丁	Dunedin
格雷茅斯	Grey Maus
黑斯廷斯	Hastings
怀塔科拉	Wai Taccola
吉斯伯恩	Gisborne
凯帕拉	Kepara
克赖斯特彻奇	Christchurch
里士满	Richmond
马努考	Manukau
纳尔逊	Nelson
内皮尔	Napier
斯特拉特福德	Stratford
陶马鲁努伊	Tao Maloo Nooyi
瓦卡塔尼	Whakatane
旺阿雷	Whangarei
旺格努伊	Wangi Nooyi
新普利茅斯	New Plymouth
因弗卡吉尔	Invercargill
匈牙利	Hungary
巴兰尼亚	Baranja
巴奇-基什孔	Ba Qi - Kish hole
包尔绍德-奥包乌伊-曾普伦	Baoershaode - Austrian package uy - Ceng Pulun
贝凯什	Bekesh
布达佩斯	Budapest
费耶尔	Fejer
豪伊杜-比豪尔	Hajdu than howl
赫维什	Heves
加兹-纳杰孔-索尔诺克	Gaz - hole - Szolnok NACE
杰尔-莫松-肖普朗	Jerry - Mo Song - Xiao Pulang
科马罗姆	Koma Rom
诺格拉德	Nogueira de
佩斯	Perth
琼格拉德	Joan Gerard
绍莫吉	Somogy
索博尔奇-索特马尔-贝拉格	Sobol Chi Sauter Marr Bella lattice
托尔瑙	Tolna
维斯普雷姆	Weiss Prem
沃什	Walsh
佐洛	Zolo
叙利亚	Syria
阿勒颇	Aleppo
大马士革	Damascus
大马士革市	The city of Damascus
代尔祖尔	Deir EZ Zor
德拉	Della
哈马	HAMA
哈塞克	Hasek
霍姆斯	Holmes
加布	Gabe
卡米什利	Cami Ashley
库奈特拉	Cu Nate La
拉卡	La
拉塔基亚	Lattakia
苏韦达	Su Weida
塔尔图斯	Tartus
伊德利卜	Idlib
牙买加	Jamaica
克拉伦登	Cola Lunden
圣安德鲁斯	St Andrews
圣凯瑟琳	San Catherine
圣玛丽	Mary
圣托马斯	St. Thomas
圣伊丽莎白	San Elizabeth
圣詹姆斯	San James
特里洛尼	Trelawny
西摩兰	Westmoreland
亚美尼亚	Armenia
阿尔马维尔	Armavir
阿拉加措特恩	Ala Fagafaga Totn
阿拉拉特	Ala Larter
埃里温市	In the city.
格加尔库尼克	Gegharkunik
科泰克	Kotek
洛里	Lori
塔武什	Tavus
瓦约茨·佐尔	Vallos Zor
希拉克	Chirac
休尼克	Syunik
也门	Yemen
阿比扬	Abyan
阿姆兰	Amran
贝达	Beida
达利	Daly
哈德拉毛	Hadra Mao
哈杰	El
荷台达	Hodeidah
焦夫	Jiao Fu
拉赫季	Lakhti
马里卜	Marib
迈赫拉	Myhre
迈赫维特	Mehdi Witt
萨达	Posada
萨那	Sanaa
赛文	Sai Wen
舍卜沃	Shabwa
塔伊兹	Taiz
希赫尔	Sigel
亚丁	Aden
伊卜	IBB
扎玛尔	Zamar
伊拉克	Iraq
伊朗	Iran
以色列	Israel
阿什杜德	Ash Dodd
贝尔谢巴	Beersheba
贝特雁	Betkari
海法	Haifa
霍隆	Huo Long
内坦亚	Netanya
特拉维夫	Tel Aviv
耶路撒冷	Jerusalem
意大利	Italy
阿斯蒂	Astee
阿斯科利皮切诺	Ascoli P Che Nor
安科纳	An Kena
奥尔比亚	Olbia
奥里斯塔诺	Oristano
奥斯塔	Aosta
巴勒莫	Palermo
贝加莫	Bergamo
贝内文托	Baire Vento
比萨	Pisa
波代诺内	Pordenone
波坦察	Potenza
博洛尼亚	Bologna
布拉	Bula
布雷西亚	Brescia
布林迪西	Brindisi
的里雅斯特	Trieste
都灵	Turin
费拉拉	Ferrara
佛罗伦萨	Florence
福贾	Foggia
卡利亚里	Cagliari
卡塞塔	Caserta
卡塔尼亚	Catania
卡坦扎罗	Catanzaro
坎波巴索	Campobasso
科摩	Como
科森扎	Kosenza
克罗托内	Kroto Hei
库内奥	Cuneo
拉奎拉	L'Aquila
拉斯佩齐亚	La Speh Zia
莱科	Lecco
莱切	Lecce
雷焦艾米利亚	Reggio Emilia
雷焦卡拉布里亚	Reggio Calabria
里窝那	Li Wona
罗马	Rome
马萨	Massa
马泰拉	Matera
蒙扎	Monza
米兰	Milan
摩德纳	Modena
墨西拿	Mo Xina
那不勒斯	Naples
努奥罗	NUORO
诺瓦拉	Novella
帕尔马	Parma
帕维亚	Pavia
佩鲁贾	Perugia
热那亚	Genoa
萨莱诺	Salerno
萨萨里	Sasari
萨沃纳	Savona
塔兰托	Taranto
特拉帕尼	Trapani
特伦托	Trento
威尼斯	Venice
韦尔切利	Weir Celli
维泰博	Wei Taibo
乌迪内	Udine
锡拉库扎	Syracuse
锡耶纳	Siena
亚历山德里亚	Alexandria
伊塞尔尼亚	Isernia
印度	India
艾藻尔	Aizawl
班加罗尔	Bangalore
本地治里	Honji Jiri
博帕尔	Bhopal
布巴内斯瓦尔	Bubba Ness Val
昌迪加尔	Chandigarh
第乌	The black
甘托克	Gangtok
哥印拜陀	Coimbatore
加尔各答	Calcutta
加里加尔	Gary Gal
贾巴尔普尔	Jabbar Poole
贾朗达尔	GA Randall
焦特布尔	Jodhpur
金奈	Jin Nai
卡瓦拉蒂	Kawale Siti
科希马	Kohima
马埃	Mahe
马杜赖	Madurai
森伯尔布尔	Sambalpur
特里凡得琅	Trivandrum
乌代布尔	Uday Bull
西隆	Shillong
锡尔萨瓦	Sir Savoy
新德里	New Delhi
亚南	ANAM
因帕尔	Nepal
印多尔	Indore
斋普尔	Jaipur
印度尼西亚	Indonesia
巴厘	Bali
邦加－勿里洞群岛	Bangka Belitung Islands
北苏拉威西	North Sulawesi
北苏门答腊	North Sumatra
大雅加达首都特区	Greater Jakarta Capital Territory
东加里曼丹	East Kalimantan
东南苏拉威西	Southeast Sulawesi
东努沙登加拉	East Nusa Tenggara
东爪哇	East Java
廖内	Liao Nei
马鲁古	Maluku
明古鲁	Bengkulu
楠榜	Lampung
南加里曼丹	Nan Jaliman Dan
南苏拉威西	Southern Sulawesi
南苏门答腊	South Sumatra
日惹特区	The District of Yogyakarta
万丹	Wan Dan
西努沙登加拉	Cino Shah den Gala
西苏门答腊	West Sumatra
西爪哇	West Java
雅加达	Jakarta
亚齐	Aceh
伊里安查亚	Irian Jaya
占碑	Jambi
中加里曼丹	In Kalimantan
中苏拉威西	In Sulawesi
中爪哇	In Java
英国	Britain
北爱尔兰	Northern Ireland
贝尔法斯特	Belfast
德里	Delhi
利斯本	Lisburn
纽里	Newry
苏格兰	Scotland
爱丁堡	Edinburgh
丹迪	Dandy
格拉斯哥	Glasgow
斯特灵	Stirling
因弗内斯	Hussein Furness
威尔士	Welsh
卡迪夫	Cardiff
斯旺西	Swansea
英格兰	England
埃克塞特	Exeter
巴斯	Bath
彼得伯勒	Peter Bohle
伯明翰	Bermingham
布拉德福德	Bradford
布莱顿与赫福	Brandon and Hector Fu
布里斯托尔	Bristol
德比	Derby
德罕	Durham
格洛斯特	Gloucester
赫尔河畔京斯敦	Hull River in Kingston
赫里福德	Hereford
剑桥	Cambridge
卡莱尔	Carlile
坎特伯雷	Canterbury
考文垂	Coventry
兰开斯特	Lancaster
里彭	Li Peng
利奇菲尔德	Litchfield
利物浦	Liverpool
利茲	Liz
列斯特	Lest
南安普敦	Nanan at
牛津	Oxford
诺丁汉	Nottingham
诺里奇	Norwich
朴茨茅斯	Portsmouth
普雷斯顿	Preston
普利茅斯	Plymouth
奇切斯特	Chichester
切斯特	Chester
桑德兰	Sang Delan
圣阿本斯	San Arbenz
索尔斯堡	Salisbury
索福特	Cable Ford
特鲁罗	Truro
特伦特河畔斯多克	Stock on Trent
威尔斯	Wells
韦克菲尔德	Wakefield
温彻斯特	Winchester
伍尔弗汉普顿	Wulf Hampton
谢菲尔德	Sheffield
伊利	Erie
约克	York
英属印度洋领地	British India Ocean Territory
约旦	Jordan
阿吉隆	Agiron
安曼	Amman
拜勒加	Balqa
杰拉什	Jerash
卡拉克	Kharak
鲁赛法	Rusayfah
马安	Ma An
马德巴	Madeba
马夫拉克	Mafu Lark
塔菲拉	Tafira
亚喀巴	Aqaba
伊尔比德	Il Bede
扎尔卡	Zarqa
越南	Vietnam
海防	Coast defence
河内	Hanoi
胡志明市	Hu Zhiming city
赞比亚	Zambia
北方	The North
卢阿普拉	Lua Pla
卢萨卡	Lusaka
南方	South
铜带	Copper strip
西方	Western
泽西岛	Jersey
乍得	Chad
直布罗陀	Gibraltar
智利	Chile
阿劳卡尼亚大区	Araucania region
阿塔卡马大区	Atta Kama region
安托法加斯塔大区	The region of Antofagasta
比奥比奥大区	Beal Beal region
复活节岛	Easter Island
湖大区	Los Lagos
科金博大区	Coquimbo region
马乌莱大区	Maule region
麦哲伦-智利南极大区	Magallanes y de la Antartica Chilena
塔拉帕卡大区	Tara Pekka region
瓦尔帕莱索大区	The region of Valparaiso
伊瓦涅斯将军的艾森大区	Eisen district general Ibanez
中非共和国	The Central African Republic
巴明吉-班戈兰	Bamingui - class Golan
班吉直辖市	Bangui municipality directly under the central government
宾博	Bimbo
凯莫	Kai Mo
洛巴伊	Lobai
曼贝雷-卡代	Remaining - Card
姆博穆	Mubomu
纳纳-格里比齐	NANA - lattice than Qi
纳纳-曼贝雷	NANA - Mabele
桑加-姆巴埃雷	Sanga - Mubaailei
上科托	Kotto
上姆博穆	On Mubomu
瓦卡	Waka
瓦卡加	Vakaga
瓦姆	WaMu
瓦姆-彭代	Wham Peng generation
翁贝拉-姆波科	Weng Bella m'poko
下科托	Under an
塞尔维亚	黑山	Serbia	 Montenegro
塞尔维亚	黑山	Serbia	 Montenegro
塞尔维亚	黑山	Serbia	 Montenegro
塞尔维亚	黑山	Serbia	 Montenegro
北京	Beijing
东城	Dongcheng
西城	Xi Cheng
朝阳	Chaoyang
丰台	Fengtai
石景山	Shijingshan
海淀	Haidian
门头沟	Mentougou
房山	Fangshan
通州	Tongzhou
顺义	Shunyi
昌平	Changping
大兴	Daxing
平谷	Pinggu
怀柔	Huairou
密云	Miyun
延庆	Yanqing
天津	Tianjin
和平	Peace
河东	Hedong
河西	Hexi
南开	Nankai University
河北	Hebei
红桥	Hongqiao
滨海新区	Binhai New Area
东丽	Dongli
西青	Xiqing
津南	Jinnan
北辰	Beichen
塞尔维亚	黑山	Serbia	 Montenegro
塞尔维亚	黑山	Serbia	 Montenegro
塞尔维亚	黑山	Serbia	 Montenegro
塞尔维亚	黑山	Serbia	 Montenegro
塞尔维亚	黑山	Serbia	 Montenegro
塞尔维亚	黑山	Serbia	 Montenegro
塞尔维亚	黑山	Serbia	 Montenegro
塞尔维亚	黑山	Serbia	 Montenegro
宁河	Ninghe
武清	Wuqing
静海	Jinghai
宝坻	Baodi
蓟县	Jixian County
石家庄	Shijiazhuang
长安区	Changan District
桥东区	Qiaodong District
桥西区	Qiaoxi District
新华区	Xinhua District
井陉矿区	Jingxing mining area
裕华区	Yuhua District
井陉县	Jingxing County
正定县	Zhengding County
栾城县	Luancheng County
行唐县	Xingtang County
灵寿县	Lingshou County
高邑县	Gaoyi County
深泽县	Shenze County
赞皇县	Zanhuang County
无极县	The Promise County
平山县	Pingshan County
元氏县	Yuanshi County
赵县	Zhaoxian County
辛集市	The city of Xinji
藁城市	The city of Gaocheng
新乐市	The city of Xinle
鹿泉市	The city of Luquan
唐山	Tangshan
路南区	Lunan District
路北区	Lubei District
古冶区	Guye District
开平区	Kaiping District
丰南区	Fengnan District
丰润区	Fengrun District
曹妃甸区	Caofeidian area
滦　县	Luanxian
滦南县	Luannan County
乐亭县	Leting County
迁西县	Qianxi County
玉田县	Yutian County
遵化市	The city of Zunhua
迁安市	The city of Qian'an
秦皇岛	Qinghuangdao
海港区	Harbor District
山海关区	Shanhaiguan District
北戴河区	Beidaihe District
青龙满族自治县	Qinglong Manchu Autonomous County
昌黎县	Changli County
抚宁县	Funing County
卢龙县	Lulong County
邯郸	Handan
邯山区	Han Shan Qu
丛台区	Congtai District
复兴区	Renaissance Zone
峰峰矿区	Fengfeng mining area
邯郸县	Handan County
临漳县	Linzhang County
成安县	Cheng County
大名县	Daming County
涉　县	Shexian County
磁　县	Cixian
肥乡县	Feixiang County
永年县	Yongnian County
邱　县	Qiuxian
鸡泽县	Jize County
广平县	Guangping County
馆陶县	Guantao County
魏　县	Weixian
曲周县	Quzhou County
武安市	The city of Wuan
邢台	Xingtai
邢台县	Xingtai County
临城县	Lincheng County
内丘县	Neiqiu County
柏乡县	Baixiang County
隆尧县	Longyao County
任　县	Renxian County
南和县	South County
宁晋县	Ningjin County
巨鹿县	Julu County
新河县	New River County
广宗县	Guangzong County
平乡县	Pingxiang County
威　县	Weixian County
清河县	Qinghe County
临西县	Linxi County
南宫市	The city of Nangong
沙河市	The city of Shahe
保定	Baoding
新市区	The new urban area
北市区	North Downtown
南市区	South City
满城县	Mancheng County
清苑县	Qingyuan County
涞水县	Laishui County
阜平县	Fuping County
徐水县	Xushui County
定兴县	Dingxing County
唐　县	Tangxian County
高阳县	Gaoyang County
容城县	Rongcheng County
涞源县	Laiyuan County
望都县	Wangdu County
安新县	Anxin County
易　县	Yixian County
曲阳县	Quyang County
蠡　县	Lixian County
顺平县	Shunping County
博野县	Boye County
雄　县	Xiongxian
涿州市	The city of Zhuozhou
定州市	The city of Dingzhou
安国市	Anguo City
高碑店市	The city of Gaobeidian
张家口	Zhangjiakou
宣化区	Xuanhua District
下花园区	The Garden District
宣化县	Xuanhua County
张北县	Zhangbei County
康保县	Kangbao County
沽源县	Guyuan County
尚义县	Shangyi County
蔚　县	Weixian County
阳原县	Yangyuan County
怀安县	Huai'an County
万全县	Wanquan County
怀来县	Huailai County
涿鹿县	Zhuolu County
赤城县	Chicheng County
崇礼县	Chongli County
承德	Chengde
双桥区	Shuangqiao District
双滦区	Shuangluan District
鹰手营子矿区	Yingshouyingzi mine
承德县	Chengde County
兴隆县	Xinglong County
平泉县	Pingquan County
滦平县	Luanping County
隆化县	Longhua County
丰宁满族自治县	Fengning Manchu Autonomous County
宽城满族自治县	Kuancheng Manchu Autonomous County
围场满族蒙古族自治县	Mongolia Weichang Manchu Autonomous County
沧州	Cangzhou
运河区	The Canal Zone
沧　县	Cangxian
青　县	Qingxian County
东光县	Dongguang County
海兴县	Haixing County
盐山县	Yanshan County
肃宁县	Suning County
南皮县	Nanpi County
吴桥县	Wuqiao County
献　县	Xianxian County
孟村回族自治县	Mengcun Hui Autonomous County
泊头市	The city of Botou
任丘市	The city of Renqiu
黄骅市	The city of Huanghua
河间市	Hejian City
廊坊	Langfang
安次区	Anci District
广阳区	Guangyang District
固安县	Guan County
永清县	Yongqing County
香河县	Xianghe County
大城县	Grand County
文安县	Wen'an County
大厂回族自治县	Dachang Hui Autonomous County
霸州市	The city of Bazhou
三河市	Sanhe
衡水	Hengshui
桃城区	Taocheng District
枣强县	Zaoqiang County
武邑县	Wuyi County
武强县	Wuqiang County
饶阳县	Raoyang County
安平县	Anping County
故城县	Gucheng County
景　县	Jingxian County
阜城县	Fucheng County
冀州市	The city of Jizhou
深州市	The city of Shenzhou
山西	Shanxi
太原	Taiyuan
小店区	Xiaodian District
迎泽区	Yingze District
杏花岭区	Xinghualing District
尖草坪区	Jiancaoping District
万柏林区	Million in Berlin District
晋源区	Jinyuan District
清徐县	Qingxu County
阳曲县	Yangqu County
娄烦县	Loufan County
古交市	The city of Gujiao
大同	Da Tong
城　区	City area
矿　区	Ore district
南郊区	Nanjiao District
新荣区	The new wing area
阳高县	Yanggao County
天镇县	Tianzhen County
广灵县	Guangling County
灵丘县	Lingqiu County
浑源县	Hunyuan County
左云县	Zuoyun County
大同县	Datong County
阳泉	Yangquan
郊　区	The suburb area
平定县	Pingding County
盂　县	Yuxian
长治	Changzhi
长治县	Changzhi County
襄垣县	Xiangyuan County
屯留县	Tunliu County
平顺县	Pingshun County
黎城县	Licheng County
壶关县	Huguan County
长子县	The eldest son of the county
武乡县	Wuxiang County
沁　县	Qin County
沁源县	Qinyuan County
潞城市	Lucheng
晋城	Jincheng
沁水县	Qinshui County
阳城县	Yangcheng County
陵川县	Lingchuan County
泽州县	Zezhou County
高平市	The city of Gaoping
朔州	Shuozhou
朔城区	Shuocheng District
平鲁区	Pinglu District
山阴县	Shanyin County
应　县	Yingxian County
右玉县	Youyu County
怀仁县	Huairen County
晋中	Jinzhong
榆次区	Yuci District
榆社县	Yushe County
左权县	Zuoquan County
和顺县	Heshun County
昔阳县	Xiyang County
寿阳县	Shouyang County
太谷县	Taigu County
祁　县	Qixian
平遥县	Pingyao County
灵石县	Lingshi County
介休市	The city of Jiexiu
运城	Yuncheng
盐湖区	Saline Lake District
临猗县	Linyi County
万荣县	Wanrong County
闻喜县	Wenxi County
稷山县	Jishan County
新绛县	Xinjiang county
绛　县	Jiang County
垣曲县	Yuanqu County
夏　县	Xia County
平陆县	Pinglu County
芮城县	Ruicheng County
永济市	The city of Yongji
河津市	The city of Hejin
忻州	Xinzhou
忻府区	Xin House District
定襄县	Dingxiang County
五台县	Five County
代　县	Generation of county
繁峙县	Fanshi County
宁武县	Ningwu County
静乐县	Jingle County
神池县	Shenchi County
五寨县	Wuzhai County
岢岚县	Kelan County
河曲县	Hequ County
保德县	Baode County
偏关县	Pianguan County
原平市	The city of Yuanping
临汾	Linfen
尧都区	Yaodu District
曲沃县	Quwo County
翼城县	Yicheng County
襄汾县	Xiangfen County
洪洞县	Hongdong County
古　县	Ancient county
安泽县	Anze County
浮山县	In Fushan County
吉　县	Ji County
乡宁县	Xiangning County
大宁县	Daning County
隰　县	Xi county
永和县	Yonghe County
蒲　县	Pu County
汾西县	Fenxi County
侯马市	The city of Houma
霍州市	The city of Huozhou
吕梁	Lvliang
离石区	Lishi District
文水县	Wenshui County
交城县	Jiaocheng County
兴　县	Xing County
临　县	Linxian County
柳林县	Liulin County
石楼县	Shilou County
岚　县	Lan county
方山县	Fangshan County
中阳县	Zhongyang County
交口县	Jiaokou County
孝义市	The city of Xiaoyi
汾阳市	The city of Fenyang
内蒙古	Inner Mongolia
呼和浩特	Hohhot
新城区	The new city
回民区	Huimin District
玉泉区	Yuquan District
赛罕区	Saihan District
土默特左旗	TuMoTeZuo banner
托克托县	Togtoh County
和林格尔县	Helingeer County
清水河县	Qingshui River County
武川县	Wuchuan County
包头	Baotou
东河区	Donghe District
昆都仑区	Kundulun District
青山区	Castle Peak District
石拐区	Shiguai District
白云鄂博矿区	Baiyunebo mining area
九原区	Jiuyuan District
土默特右旗	Tumed Right Banner
固阳县	Guyang County
达尔罕茂明安联合旗	Darhan Muminggan lianheqi
乌海	Wuhai
海勃湾区	Haibowan District
海南区	Hainan District
乌达区	Wuda District
赤峰	Chifeng
红山区	Red mountain
元宝山区	Yuanbaoshan District
松山区	Songshan District
阿鲁科尔沁旗	Arhorchin flag
巴林左旗	Bahrain Left Banner
巴林右旗	Bahrain Right Banner
林西县	Linxi County
克什克腾旗	Hexigten Banner
翁牛特旗	Wengniute Banner
喀喇沁旗	Harqin Banner
宁城县	Ningcheng County
敖汉旗	Aohan banner
通辽	Tongliao
科尔沁区	Horqin district
科尔沁左翼中旗	Horqin Left Middle Banner
科尔沁左翼后旗	Keerqin
开鲁县	Kailu County
库伦旗	Kulun flag
奈曼旗	Nai Manqi
扎鲁特旗	Jarud banner
霍林郭勒市	Huolinguole City
鄂尔多斯	Erdos
东胜区	Dongsheng District
达拉特旗	Dalate flag
准格尔旗	Zhungeer Qi
鄂托克前旗	Etuokeqianqi
鄂托克旗	Etuoke Banner
杭锦旗	Hangjinqi
乌审旗	Wushen Banner
伊金霍洛旗	Yijinhuoluo
呼伦贝尔	Hulun Buir
海拉尔区	Hailar District
阿荣旗	Arong Qi
莫力达瓦达斡尔族自治旗	Morin Dawa Daur Autonomous Banner
鄂伦春自治旗	Oroqen Autonomous Banner
鄂温克族自治旗	Evenk Autonomous Banner
陈巴尔虎旗	Old Barag Banner
新巴尔虎左旗	New Barr tiger
新巴尔虎右旗	New Barag Right Banner
满洲里市	The city of Manchuria
牙克石市	The city of Yakeshi
扎兰屯市	The city of Zhalantun
额尔古纳市	The city of Eergu'Na
根河市	Genhe City
巴彦淖尔	Bayannaoer
临河区	Kanawha District
五原县	Wuyuan County
磴口县	Dengkou County
乌拉特前旗	Wulateqianqi
乌拉特中旗	Urat banner
乌拉特后旗	Wulatehouqi
杭锦后旗	Hangjinhouqi
乌兰察布	Wulanchabu
集宁区	Jining District
卓资县	Zhuozi County
化德县	Huade County
商都县	Shangdu County
兴和县	Xinghe County
凉城县	Liangcheng County
察哈尔右翼前旗	Chahar right front banner
察哈尔右翼中旗	Chahar right middle banner
察哈尔右翼后旗	Chahar Right Banner
四子王旗	Siziwangqi
丰镇市	The city of Fengzhen
兴安	Xingan
乌兰浩特市	The city of Ulanhot
阿尔山市	The city of Arxan
科尔沁右翼前旗	Horqin Right Front Banner
科尔沁右翼中旗	Horqin Right Wing Middle Banner
扎赉特旗	Jalaid banner
突泉县	Tuquan County
锡林郭勒	Xilin Gol
二连浩特市	The city of Erenhot
锡林浩特市	The city of Xilinhaote
阿巴嘎旗	Abag banner
苏尼特左旗	Sonid Left Banner
苏尼特右旗	Sonid Right Banner
东乌珠穆沁旗	East Ujimqin banner
西乌珠穆沁旗	West Ujimqin banner
太仆寺旗	Taipusiqi
镶黄旗	Xianghuang Banner
正镶白旗	Zhengxiangbai banner
正蓝旗	Zhenglan Banner
多伦县	Duolun County
阿拉善	Alashan
阿拉善左旗	Alashan Left Banner
阿拉善右旗	Alashan Right Banner
额济纳旗	Ejinaqi
塞尔维亚,黑山	Serbia, Montenegro
辽宁	Liaoning
沈阳	Shenyang
和平区	Zone of peace
沈河区	Shenhe District
大东区	The big east
皇姑区	Huanggu District
铁西区	Tiexi District
苏家屯区	Sujiatun District
东陵区	Dongling District
沈北新区	Shenbei New Area
于洪区	Yuhong District
辽中县	Liaozhong County
康平县	Kangping County
法库县	Faku County
新民市	Xinmin City
大连	Dalian
中山区	Zhongshan District
西岗区	Xigang District
沙河口区	Shahekou District
甘井子区	Ganjingzi District
旅顺口区	Lushunkou District
金州区	Jinzhou District
长海县	Changhai County
瓦房店市	The city of Wafangdian City
普兰店市	The city of Pulandian
庄河市	The city of Zhuanghe
鞍山	Anshan
铁东区	Tiedong District
立山区	Lishan District
千山区	Qianshan District
台安县	Taian County
岫岩满族自治县	Xiuyan Manchu Autonomous County
海城市	The city of Haicheng
抚顺	Fushun
新抚区	Xinfu District
东洲区	Dongzhou District
望花区	Wanghua District
顺城区	Shuncheng District
抚顺县	Fushun County
新宾满族自治县	Xinbin Manchu Autonomous County
清原满族自治县	Qingyuan Manchu Autonomous County
本溪	Benxi
平山区	Ping Shan District
溪湖区	Lake District
明山区	Mountain
南芬区	Nanfen District
本溪满族自治县	Benxi Manchu Autonomous County
桓仁满族自治县	Huanren Manchu Autonomous County
丹东	Dandong
元宝区	Yuanbao District
振兴区	The revitalization of the area
振安区	Zhen'an District
宽甸满族自治县	Kuandian Manchu Autonomous County
东港市	The city of Donggang
凤城市	The city of Fengcheng
锦州	Jinzhou
古塔区	Guta District
凌河区	Linghe District
太和区	Taihe District
黑山县	Heishan County
义　县	Yi County
凌海市	Linghai City
北镇市	The city of Beizhen
营口	Yingkou
站前区	Zhanqian District
西市区	West City
鲅鱼圈区	Bayuquan District
老边区	The old border
盖州市	The city of Gaizhou
大石桥市	The city of Dashiqiao
阜新	Fuxin
海州区	Haizhou District
新邱区	Xinqiu District
太平区	Taiping District
清河门区	Qinghemen District
细河区	Xihe District
阜新蒙古族自治县	Mongolia Autonomous County of Fuxin
彰武县	Zhangwu County
辽阳	Liaoyang
白塔区	Baita District
文圣区	Wensheng District
宏伟区	Hongwei District
弓长岭区	Gongchangling District
太子河区	Taizihe District
辽阳县	Liaoyang County
灯塔市	Lighthouse City
盘锦	Panjin
双台子区	Shuangtaizi District
兴隆台区	Xinglongtai District
大洼县	Dawa County
盘山县	Panshan County
铁岭	Tieling
银州区	Yinzhou District
清河区	Qinghe District
铁岭县	Tieling County
西丰县	Xifeng County
昌图县	Changtu County
调兵山市	The city of Diaobingshan
开原市	The city of Kaiyuan
双塔区	Twin Towers District
龙城区	Longcheng District
朝阳县	Chaoyang County
建平县	Jianping County
喀喇沁左翼蒙古族自治县	Mongolia Autonomous County harqin left wing
北票市	The city of Beipiao
凌源市	The city of Lingyuan
葫芦岛	Huludao
连山区	Even the mountain
龙港区	Longgang District
南票区	Nanpiao District
绥中县	Suizhong County
建昌县	Jianchang County
兴城市	The city of Xingcheng
吉林	Jilin
长春	Changchun
南关区	Nanguan District
宽城区	The wide city
朝阳区	Chaoyang District
二道区	Two district
绿园区	Luyuan District
双阳区	Shuangyang District
农安县	Nong'an County
九台市	Jiutai
榆树市	Elm city
德惠市	The city of Dehui
昌邑区	Changyi District
龙潭区	Longtan District
船营区	Chuanying District
丰满区	Fengman District
永吉县	Yongji County
蛟河市	The city of Jiaohe
桦甸市	The city of Huadian
舒兰市	The city of Shulan
磐石市	Panshi City
四平	Siping
梨树县	Lishu County
伊通满族自治县	Yitong Manchu Autonomous County
公主岭市	The city of Gongzhuling
双辽市	The city of Shuangliao
辽源	Liaoyuan
龙山区	Longshan District
西安区	Xi'an area
东丰县	Dongfeng County
东辽县	Dongliao County
通化	Tonghua
东昌区	Dongchang District
二道江区	Erdaojiang District
通化县	Tonghua County
辉南县	Huinan County
柳河县	Liuhe County
梅河口市	The city of Meihekou
集安市	The city of Ji'an
白山	Mount Bai
八道江区	Badaojiang District
江源区	River Source Area
抚松县	Fusong County
靖宇县	Jingyu County
长白朝鲜族自治县	Changbai Korean Autonomous County
临江市	Linjiang City
松原	Songyuan
宁江区	Ningjiang district
前郭尔罗斯蒙古族自治县	Mongolia Autonomous County, Qian Gorlos
长岭县	Changling County
乾安县	Qian'an County
扶余县	Fuyu County
白城	Baicheng
洮北区	Taobei District
镇赉县	Zhenlai County
通榆县	Tongyu County
洮南市	The city of Taonan
大安市	Da'an City
延边	Yanbian
延吉市	The city of Yanji
图们市	The city of Tumen
敦化市	The city of Dunhua
珲春市	The city of Hunchun
龙井市	The city of Longjing
和龙市	Helong City
汪清县	Wangqing County
安图县	Antu County
黑龙江	Heilongjiang
哈尔滨	Harbin
道里区	Daoli District
南岗区	Nangang District
道外区	Daowai District
